player_display_name,position,team,production_score,2026_opponent_def_rating,predictions_2026
James Proche,WR,TEN,12.5,18.176470588235293,13.95
Rico Dowdle,RB,CAR,218.8,15.352941176470589,206.18
J.K. Dobbins,RB,DEN,115.9,14.735294117647058,103.47
Isaiah Hodgins,WR,NYG,27.5,17.558823529411764,28.23
Mason Kinsey,WR,TEN,6.8,18.176470588235293,7.48
Nick Westbrook-Ikhine,WR,MIA,19.9,15.529411764705882,17.5
Gabe Davis,WR,BUF,34.3,15.323529411764707,33.44
Tua Tagovailoa,QB,MIA,160.70000000000002,15.529411764705882,147.08
Jonathan Taylor,RB,IND,360.3,16.58823529411765,365.19
Harrison Bryant,TE,HOU,7.8,18.529411764705884,8.68
Colby Parkinson,TE,LA,161.0,15.411764705882353,144.13
Michael Pittman,WR,IND,200.4,16.58823529411765,198.81
Jauan Jennings,WR,SF,188.26,16.235294117647058,184.63
Jordan Love,QB,GB,265.15999999999997,17.38235294117647,283.49
AJ Dillon,RB,PHI,11.1,20.205882352941178,13.27
D'Andre Swift,RB,CHI,253.4,13.823529411764707,215.26
Cole Kmet,TE,CHI,88.9,13.823529411764707,77.12
Darnell Mooney,WR,ATL,82.3,17.058823529411764,80.75
Justin Jefferson,WR,MIN,201.5,18.470588235294116,225.29
Antonio Gibson,RB,NE,17.200000000000003,15.647058823529411,17.4
Devin Duvernay,WR,CHI,4.6,13.823529411764707,3.36
Josiah Deguara,TE,ARI,11.1,15.470588235294118,11.13
Justin Herbert,QB,LAC,298.94,14.029411764705882,255.04
CeeDee Lamb,WR,DAL,200.9,16.676470588235293,205.07
Clyde Edwards-Helaire,RB,KC,4.2,16.147058823529413,4.26
Jalen Hurts,QB,PHI,315.18,20.205882352941178,383.79
Jerry Jeudy,WR,CLE,122.7,20.058823529411764,144.15
Tee Higgins,WR,CIN,209.6,16.705882352941178,218.35
Cam Akers,RB,MIN,7.18,18.470588235294116,7.59
Cam Akers,RB,SEA,0.0,17.176470588235293,0.1
Van Jefferson,WR,TEN,70.0,18.176470588235293,77.87
Adam Trautman,TE,DEN,45.5,14.735294117647058,41.27
Albert Okwuegbunam,TE,LV,8.6,13.205882352941176,6.3
DeeJay Dallas,RB,CAR,0.0,15.352941176470589,-0.06
DeeJay Dallas,RB,JAX,2.1,17.705882352941178,2.38
Tyler Johnson,WR,NYJ,37.7,15.117647058823529,34.47
Charlie Woerner,TE,ATL,12.8,17.058823529411764,13.41
Joe Burrow,QB,CIN,134.46,16.705882352941178,134.68
Chris Blair,WR,ATL,0.0,17.058823529411764,0.13
Tim Jones,WR,JAX,2.5,17.705882352941178,2.78
DJ Turner,WR,LV,0.0,13.205882352941176,-0.31
Shane Zylstra,TE,DET,5.0,18.0,5.26
Rashod Bateman,WR,BAL,53.4,17.88235294117647,56.5
Nico Collins,WR,HOU,231.3,18.529411764705884,257.25
Chuba Hubbard,RB,CAR,145.3,15.352941176470589,136.98
Elijah Mitchell,RB,KC,0.0,16.147058823529413,0.14
Gary Brightwell,RB,CIN,0.0,16.705882352941178,0.13
Quintin Morris,TE,JAX,17.5,17.705882352941178,18.5
Jaylen Waddle,WR,MIA,194.12,15.529411764705882,184.15
Dee Eskridge,WR,MIA,10.2,15.529411764705882,8.92
Dyami Brown,WR,JAX,49.7,17.705882352941178,53.85
John Bates,TE,WAS,27.3,17.676470588235293,28.4
Tylan Wallace,WR,BAL,14.5,17.88235294117647,15.7
Noah Gray,TE,KC,38.8,16.147058823529413,38.15
Simi Fehoko,WR,ARI,0.0,15.470588235294118,-0.06
Shane Buechele,QB,KC,3.92,16.147058823529413,3.98
Adam Prentice,RB,DEN,16.0,14.735294117647058,14.12
Jack Stoll,TE,NO,16.6,19.41176470588235,19.26
Brock Wright,TE,DET,36.8,18.0,39.69
Jaret Patterson,RB,LAC,25.7,14.029411764705882,22.17
Feleipe Franks,TE,ATL,0.4,17.058823529411764,0.39
Austin Trammell,WR,JAX,7.6,17.705882352941178,8.3
Kene Nwangwu,RB,NYJ,4.9,15.117647058823529,4.12
Tutu Atwell,WR,LA,31.2,15.411764705882353,29.61
Ben Skowronek,WR,PIT,16.9,15.588235294117647,17.4
Rhamondre Stevenson,RB,NE,229.1,15.647058823529411,218.16
Kylen Granson,TE,PHI,11.0,20.205882352941178,13.27
Luke Farrell,TE,SF,32.6,16.235294117647058,31.85
Najee Harris,RB,LAC,11.6,14.029411764705882,10.11
Pat Freiermuth,TE,PIT,116.4,15.588235294117647,111.2
Davis Mills,QB,HOU,66.6,18.529411764705884,75.47
Ja'Marr Chase,WR,CIN,315.6,16.705882352941178,316.74
Khalil Herbert,RB,NYJ,6.6000000000000005,15.117647058823529,6.51
DeVonta Smith,WR,PHI,216.8,20.205882352941178,267.63
Kenneth Gainwell,RB,PIT,231.9,15.588235294117647,220.8
Michael Carter,RB,ARI,99.0,15.470588235294118,94.32
Justin Fields,QB,NYJ,134.66,15.117647058823529,122.91
Avery Williams,RB,NYJ,0.0,15.117647058823529,0.0
Michael Bandy,WR,DEN,15.0,14.735294117647058,14.12
